Date,SPP,TL 1st Enc. (mm),Full Tag,11/7/2023,11/9/2023,3/19/2024,3/21/2024,11/4/2024,11/5/2024,3/18/2025,3/20/2025,11/3/2025,11/6/2025,,,,,
11/7/2023,RBC,292,989.001030620370,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,303,989.001030620371,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,SRN,389,989.001030620372,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,192,989.001030620373,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,398,989.001030620374,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,122,989.001030620376,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,316,989.001030620377,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,337,989.001030620378,1,1,1,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,287,989.001030620379,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SCN,116,989.001030620380,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,243,989.001030620381,1,0,1,1,0,0,0,0,0,0,,,,,
11/7/2023,SRN,340,989.001030620382,1,1,0,0,0,0,0,0,0,0,,,,,
3/19/2024,SRN,341,989.001030620382,0,0,1,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,332,989.001030620383,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,RBT,295,989.001030620384,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,374,989.001030620385,1,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,324,989.001030620386,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,405,989.001030620387,1,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,328,989.001030620388,1,0,1,0,0,0,1,1,0,0,,,,,
11/7/2023,SRN,396,989.001030620389,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,174,989.001030620390,1,0,1,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,390,989.001030620391,1,0,0,0,0,0,0,0,1,0,,,,,
11/7/2023,LOC,256,989.001030620392,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,RBC,305,989.001030620393,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,396,989.001030620394,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,150,989.001030620395,1,0,0,0,0,0,0,0,0,0,,,,,
3/19/2024,RBT,153,989.001030620395,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,362,989.001030620396,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,114,989.001030620397,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,279,989.001030620398,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,307,989.001030620399,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SCN,95,989.001030620400,1,0,0,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,445,989.001030620401,1,1,1,1,1,0,1,1,0,0,,,,,
11/7/2023,LOC,301,989.001030620402,1,1,0,0,1,0,0,0,0,0,,,,,
11/7/2023,LOC,354,989.001030620403,1,1,0,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,264,989.001030620404,1,0,1,1,0,1,1,1,1,1,,,,,
11/7/2023,LOC,185,989.001030620406,1,1,1,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,137,989.001030620407,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,545,989.001030620408,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,396,989.001030620409,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,389,989.001030620410,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,327,989.001030620411,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SCN,132,989.001030620412,1,0,0,0,0,1,0,0,0,0,,,,,
11/7/2023,SRN,381,989.001030620413,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SCN,89,989.001030620414,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,326,989.001030620415,1,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,278,989.001030620416,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,338,989.001030620417,1,1,1,1,0,0,0,0,1,1,,,,,
11/7/2023,SRN,399,989.001030620418,1,0,1,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,294,989.001030620419,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,336,989.001030620420,1,0,0,0,1,0,1,1,1,1,,,,,
11/7/2023,RBC,315,989.001030620421,1,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,227,989.001030620422,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,295,989.001030620423,1,1,0,0,0,0,0,0,1,1,,,,,
11/7/2023,RBC,303,989.001030620424,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,392,989.001030620425,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,294,989.001030620426,1,0,1,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,414,989.001030620427,1,0,1,1,1,0,1,1,1,1,,,,,
11/7/2023,RBT,265,989.001030620428,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SCN,95,989.001030620429,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,326,989.001030620430,1,0,1,0,1,0,0,0,0,0,,,,,
11/7/2023,RBC,321,989.001030620431,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,381,989.001030620432,1,0,0,0,1,1,0,0,0,0,,,,,
11/7/2023,RBC,247,989.001030620433,1,0,1,1,0,0,0,0,0,0,,,,,
11/7/2023,SCN,91,989.001030620434,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,507,989.001030620435,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,182,989.001030620436,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SCN,92,989.001030620437,1,0,0,1,0,0,0,0,0,0,,,,,
11/7/2023,RBC,338,989.001030620438,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,268,989.001030620439,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,336,989.001030620440,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SCN,84,989.001030620441,1,0,0,0,0,0,0,0,0,0,,,,,
