Dec Tag #,Species,Capture_History,LOC,RBT,SRN,RBC,RBS,SCN,LengthFall23,LengthSpring24,LengthFall24,LengthSpring25,LengthFall25,TL 1st Enc,Date 1st Enc,,,,,
989.001030620315,LOC,1100000000,1,0,0,0,0,0,435,437.79,433.56,437.44,437.78,435,11/7/2023,,,,,
989.001030620316,LOC,1111101101,1,0,0,0,0,0,365,367,399,406,421,365,11/7/2023,,,,,
989.001030620318,LOC,1111000000,1,0,0,0,0,0,325,334,361.02,366.55,388.84,325,11/7/2023,,,,,
989.001030620319,SCN,1000000000,0,0,0,0,0,1,109,116,208,217,286,109,11/7/2023,,,,,
989.001030620320,RBT,1110110000,0,1,0,0,0,0,396,396,398,402.69,413.79,396,11/7/2023,,,,,
989.001030620321,RBC,1100000000,0,0,0,1,0,0,356,359.74,379.01,384.13,400.98,356,11/7/2023,,,,,
989.001030620322,LOC,1100000000,1,0,0,0,0,0,398,401.23,408.01,412.48,420.54,398,11/7/2023,,,,,
989.001030620323,RBC,1100000000,0,0,0,1,0,0,257,261.94,310.65,317.33,354.85,257,11/7/2023,,,,,
989.001030620324,RBT,1011001000,0,1,0,0,0,0,388,388,391,395.85,409.06,394,11/7/2023,,,,,
989.001030620325,LOC,1111010110,1,0,0,0,0,0,326,342,379,381,401,326,11/7/2023,,,,,
989.001030620326,SRN,1100000000,0,0,1,0,0,0,354,357.77,377.63,382.78,400.04,354,11/7/2023,,,,,
989.001030620327,RBC,1111000000,0,0,0,1,0,0,269,274,319.08,325.57,360.54,269,11/7/2023,,,,,
989.001030620328,RBT,1100000000,0,1,0,0,0,0,538,539.54,504.69,506.95,485.77,538,11/7/2023,,,,,
989.001030620329,LOC,1000000000,1,0,0,0,0,0,357,360.73,379.7,384.81,401.44,357,11/7/2023,,,,,
989.001030620330,RBC,1111011000,0,0,0,1,0,0,292,295,306,307,347.72,292,11/7/2023,,,,,
989.001030620331,LOC,1100000000,1,0,0,0,0,0,277,281.7,324.46,330.82,364.17,277,11/7/2023,,,,,
989.001030620332,LOC,1000000000,1,0,0,0,0,0,136,142.41,227.09,235.68,298.48,136,11/7/2023,,,,,
989.001030620333,LOC,1100000000,1,0,0,0,0,0,605,605.73,550.96,552.16,516.98,605,11/7/2023,,,,,
989.001030620334,LOC,1100000000,1,0,0,0,0,0,455,457.55,447.37,450.94,447.1,455,11/7/2023,,,,,
989.001030620335,LOC,1000000000,1,0,0,0,0,0,278,282.69,325.15,331.5,364.64,278,11/7/2023,,,,,
989.001030620336,LOC,1011000000,1,0,0,0,0,0,156,158,237.99,246.33,305.84,156,11/7/2023,,,,,
989.001030620337,LOC,1101000000,1,0,0,0,0,0,215,231,289.02,296.19,340.26,215,11/7/2023,,,,,
989.001030620338,LOC,1100000000,1,0,0,0,0,0,339,342.95,367.27,372.66,393.06,339,11/7/2023,,,,,
989.001030620339,LOC,1000000010,1,0,0,0,0,0,366,369.62,385.92,390.88,400,366,11/7/2023,,,,,
989.001030620340,LOC,1100000000,1,0,0,0,0,0,337,340.97,365.89,371.31,392.12,337,11/7/2023,,,,,
989.001030620341,LOC,1000010000,1,0,0,0,0,0,337,340.97,404,408.55,417.84,337,11/7/2023,,,,,
989.001030620342,SRN,1100000000,0,0,1,0,0,0,401,404.2,410.08,414.5,421.94,401,11/7/2023,,,,,
989.001030620343,LOC,1100000000,1,0,0,0,0,0,356,359.74,379.01,384.13,400.98,356,11/7/2023,,,,,
